query,cluster,market,locale,n
Khl,237,se_sv,sv,27
khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
Kyl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Koll,237,no_no,no,27
Kolm,237,no_no,no,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
Khl,237,fi_fi,fi,27
KHL,237,fi_fi,fi,27
Kal,237,se_sv,sv,27
Horse ,27,gb_en,gb,24
hourse,27,gb_en,gb,24
horse,27,gb_en,gb,24
Horse ,27,gb_en,gb,24
Horse,27,gb_en,gb,24
horse,27,de_de,de,24
Horse,27,gb_en,gb,24
Horse,27,gb_en,gb,24
Horezu,27,se_sv,sv,24
Hores,27,gb_en,gb,24
Horse ,27,gb_en,gb,24
Horse,27,gb_en,gb,24
Horse,27,gb_en,gb,24
horse,27,se_sv,sv,24
horsen,27,se_sv,sv,24
Horse,27,gb_en,gb,24
hors,27,no_no,no,24
horse ,27,gb_en,gb,24
Horse,27,gb_en,gb,24
Horsens,27,se_sv,sv,24
Horsen,27,no_no,no,24
Horse,27,gb_en,gb,24
Horsens,27,se_sv,sv,24
Horse,27,gb_en,gb,24
Fonfotball,15,ca_en,ca,20
Football,15,ca_en,ca,20
Football,15,ca_en,ca,20
1.5Football,15,ca_en,ca,20
Football,15,ca_en,ca,20
Football,15,ca_en,ca,20
Fotball,15,no_no,no,20
Football,15,gb_en,gb,20
Fotball,15,no_no,no,20
Fotball,15,no_no,no,20
Football,15,gb_en,gb,20
Football,15,ca_en,ca,20
Football,15,gb_en,gb,20
Football,15,gb_en,gb,20
Football,15,gb_en,gb,20
Fotball,15,no_no,no,20
Football ,15,gb_en,gb,20
Football,15,ca_en,ca,20
Footbal,15,ca_en,ca,20
Fotball,15,no_no,no,20
england,4,gb_en,gb,18
englang,4,gb_en,gb,18
England,4,gb_en,gb,18
engla,4,gb_en,gb,18
Englanti,4,fi_fi,fi,18
Englan,4,se_sv,sv,18
England,4,se_sv,sv,18
Englanti,4,fi_fi,fi,18
England,4,se_sv,sv,18
england,4,se_sv,sv,18
england,4,se_sv,sv,18
Engla,4,se_sv,sv,18
England,4,de_de,de,18
England,4,se_sv,sv,18
england,4,no_no,no,18
England,4,no_no,no,18
England,4,de_de,de,18
England,4,se_sv,sv,18
weald,59,se_sv,sv,17
Was,59,se_sv,sv,17
Wasl,59,se_sv,sv,17
Wales,59,se_sv,sv,17
bal,59,no_no,no,17
waldb,59,no_no,no,17
Atl,59,se_sv,sv,17
al-,59,se_sv,sv,17
Al-,59,se_sv,sv,17
Atal,59,se_sv,sv,17
wasl,59,se_sv,sv,17
Atl,59,se_sv,sv,17
Ba,59,ca_en,ca,17
Bal,59,se_sv,sv,17
atle,59,de_de,de,17
Alg,59,se_sv,sv,17
alg,59,se_sv,sv,17
ence,24,fi_fi,fi,16
ENCE,24,fi_fi,fi,16
enc,24,gb_en,gb,16
ence,24,gb_en,gb,16
rene,24,fi_fi,fi,16
rennen,24,de_de,de,16
Venex,24,se_sv,sv,16
Fener,24,de_de,de,16
ence,24,fi_fi,fi,16
ENCE,24,fi_fi,fi,16
ENCE,24,fi_fi,fi,16
fener,24,de_de,de,16
enk,24,se_sv,sv,16
Rennes,24,se_sv,sv,16
Vente,24,de_de,de,16
rennes,24,se_sv,sv,16
Sverige,9,se_sv,sv,15
Sverige,9,se_sv,sv,15
Sverige ,9,se_sv,sv,15
sverige,9,se_sv,sv,15
Sverige,9,se_sv,sv,15
sverige,9,se_sv,sv,15
Sverige,9,se_sv,sv,15
Sverige,9,se_sv,sv,15
Sverige,9,se_sv,sv,15
Sverige,9,se_sv,sv,15
